순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-91,4028185863,(유)유성통신건설,김유현,분석,8483836888,85.072,86.574,0.21039 (100.21039),11 6,2022/10/19 17:04:56,
-92,1238603513,유빈스 주식회사,이정식,분석,8482488651,85.057,86.56,0.19429 (100.19429),13 4,2022/10/19 11:15:59,
-93,4098136325,(주)에이앤비정보기술,이종식,분석,8482170800,85.054,86.557,0.19050 (100.1905),2 6,2022/10/24 19:18:13,
-94,5058112640,(주)태림,고순란,분석,8481784900,85.05,86.553,0.18590 (100.1859),12 7,2022/10/24 12:25:40,
-95,2158148186,시스텍전기통신 주식회사,전진우,분석,8481625715,85.048,86.552,0.18400 (100.184),15 5,2022/10/24 15:14:50,
-96,5048155836,주식회사 누리이엔씨,이미선,분석,8481551000,85.047,86.551,0.18310 (100.1831),12 2,2022/10/26 08:23:48,
-97,4028129236,완전정보통신 주식회사,정현자,분석,8481491824,85.046,86.55,0.18240 (100.1824),10 7,2022/10/25 19:07:12,
-98,1058106123,주식회사 나우스넷,오승탁,분석,8481277700,85.044,86.548,0.17984 (100.17984),11 2,2022/10/26 08:36:12,
-99,1078746443,(주)라인테크놀로지,유현식,분석,8481164920,85.043,86.547,0.17849 (100.17849),10 3,2022/10/25 13:33:47,
-100,1018151121,주식회사 경원전력,최경택,분석,8481030875,85.041,86.546,0.17690 (100.1769),4 9,2022/10/26 07:29:32,
-101,7088600845,주식회사 뉴비엘,이권주,분석,8480653860,85.037,86.542,0.17239 (100.17239),10 3,2022/10/21 13:58:02,
-102,1218147617,주식회사 한라인프라코어,유수상,분석,8480453400,85.035,86.54,0.17000 (100.17),13 14,2022/10/25 10:23:22,
-103,5151460190,홍성기업사,정하현,분석,8480170350,85.032,86.537,0.16662 (100.16662),10 8,2022/10/24 15:38:40,
-104,2048129194,위성이앤씨(주),이양숙,분석,8479933350,85.03,86.534,0.16380 (100.1638),13 8,2022/10/21 15:46:37,
-105,6138152467,주식회사 한길정보통신,김태영,분석,8479770700,85.028,86.533,0.16185 (100.16185),6 7,2022/10/24 10:56:30,
-106,4168192820,주식회사 엘씨케이,이재원,분석,8478844205,85.018,86.523,0.15080 (100.1508),3 9,2022/10/24 11:16:13,
-107,6118113662,(주)삼한전기통신공사,유치용,분석,8478543000,85.015,86.52,0.14720 (100.1472),11 8,2022/10/25 16:02:27,
-108,5668100187,주식회사 건대,이종석,분석,8477956000,85.008,86.514,0.14019 (100.14019),5 7,2022/10/21 13:07:45,
-109,1348629361,주식회사 삼은텔레콤,김순영,분석,8477843660,85.007,86.513,0.13885 (100.13885),13 2,2022/10/24 11:20:03,
-110,1198658528,진솔이앤에스 주식회사,김정현,분석,8477275000,85.001,86.507,0.13207 (100.13207),13 2,2022/10/25 11:54:07,
-111,6058121041,(주)동양아이텔,황일신,분석,8477068900,84.999,86.505,0.12961 (100.12961),13 14,2022/10/21 09:43:38,
-112,3148180203,주식회사 우성테크,이윤정,분석,8475518124,84.982,86.489,0.11110 (100.1111),12 15,2022/10/19 09:44:39,
-113,6178103385,종로전기 주식회사,박동천,분석,8475420000,84.981,86.488,0.10992 (100.10992),1 6,2022/10/25 17:05:39,
-114,2128153400,일렉파워주식회사,김성호,분석,8475405650,84.981,86.488,0.10975 (100.10975),1 6,2022/10/24 17:23:33,
-115,4108686024,주식회사 신화이엔씨,손영님,분석,8474135740,84.967,86.475,0.09459 (100.09459),1 5,2022/10/26 09:56:42,
-116,6168197255,광명디앤씨주식회사,김종헌,분석,8473942000,84.965,86.473,0.09228 (100.09228),1 11,2022/10/24 15:36:44,
-117,1078197085,(주)코어넷,소흥섭,분석,8472690250,84.951,86.46,0.07734 (100.07734),15 4,2022/10/24 22:06:11,
-118,4098606490,서경정보통신 주식회사,김연화,분석,8471764490,84.941,86.451,0.06629 (100.06629),11 8,2022/10/25 13:42:15,
-119,5048604803,(주)한영정보통신,손진영,분석,8471697739,84.941,86.45,0.06550 (100.0655),12 13,2022/10/25 17:08:27,
-120,1138640864,주식회사 지앤씨씨,정연진,분석,8470935340,84.932,86.442,0.05640 (100.0564),12 13,2022/10/25 14:38:42,
-121,1138160244,(주)링네트,이주석,분석,8470169000,84.924,86.435,0.04725 (100.04725),15 5,2022/10/24 19:12:29,
-122,3148130057,주식회사 제이씨정보통신,주기만,분석,8469972070,84.922,86.433,0.04490 (100.0449),12 4,2022/10/25 17:49:16,
-123,1258150021,주식회사 가교오씨아이,윤후용,분석,8468120317,84.902,86.414,0.02280 (100.0228),1 6,2022/10/25 09:48:17,
-124,1348618826,범진에너지건설(주),김의근,분석,8467693000,84.897,86.409,0.01769 (100.01769),14 8,2022/10/24 15:57:37,
-125,4168191350,주식회사 태화전기,김종하,분석,8467240623,84.893,86.405,0.01230 (100.0123),12 5,2022/10/25 18:43:12,
-126,2048626080,주식회사 엘제이이엔지,임성희,분석,8466903280,84.889,86.401,0.00827 (100.00827),14 4,2022/10/19 21:00:50,
-127,1078614153,알에스전기통신(주),양홍철,분석,8466216800,84.881,86.394,0.00007 (100.00007),8 9,2022/10/24 08:46:16,
-128,4028126447,(유)딕스,박상진,분석,8465194700,84.87,86.384,-0.01213 (99.98787),13 6,2022/10/19 09:55:13,
-129,1308172032,(주)한길테크놀로지,이승화,분석,8465129357,84.87,86.383,-0.01290 (99.9871),13 15,2022/10/24 11:32:51,
-130,5020176847,kr정보통신,조준래,분석,8464945000,84.868,86.381,-0.01511 (99.98489),11 2,2022/10/24 12:14:10,
-131,2028104237,대선이엔씨(주),최승재,분석,8464505613,84.863,86.377,-0.02035 (99.97965),10 8,2022/10/24 14:43:28,
-132,1198675906,대경정보통신 주식회사,변원덕,분석,8464417224,84.862,86.376,-0.02140 (99.9786),4 7,2022/10/25 07:12:42,
-133,6138141669,주식회사 청호전기,최경의,분석,8464400500,84.862,86.376,-0.02160 (99.9784),5 8,2022/10/25 17:12:21,
-134,4088171222,주식회사 한광,김순미,분석,8463830760,84.856,86.37,-0.02841 (99.97159),3 4,2022/10/26 06:02:28,
-135,2078149729,주식회사 지앤에스기술,문창수,분석,8463638067,84.854,86.368,-0.03070 (99.9693),1 3,2022/10/26 09:07:03,
-136,6178137018,아성글로벌주식회사,김창범,분석,8463562664,84.853,86.367,-0.03160 (99.9684),11 12,2022/10/19 14:24:36,
-137,4388601038,(주)유피,이선재,분석,8463486423,84.852,86.366,-0.03252 (99.96748),11 14,2022/10/24 20:33:17,
-138,3428101799,주식회사 비앤에스,신경인,분석,8463210780,84.849,86.364,-0.03581 (99.96419),10 12,2022/10/25 09:42:31,
-139,2078152132,(주)홍남테크,김홍길,분석,8462314330,84.839,86.355,-0.04651 (99.95349),1 13,2022/10/26 09:04:38,
-140,1068619820,주식회사유엔콘트롤,남성모,분석,8462213800,84.838,86.353,-0.04770 (99.9523),1 3,2022/10/24 10:30:05,
-141,1148602636,(주)오라엔지니어링,오형근,분석,8461604300,84.832,86.347,-0.05498 (99.94502),12 4,2022/10/24 09:16:53,
-142,1218623721,주식회사 우리아이티,천재호,분석,8460085778,84.815,86.332,-0.07310 (99.9269),1 15,2022/10/24 18:01:03,
-143,2108122823,우영정보통신(주),황태하,분석,8460061500,84.815,86.332,-0.07339 (99.92661),14 5,2022/10/25 09:31:31,
-144,1358167679,원일 정보통신 주식회사,김영석,분석,8459897272,84.813,86.33,-0.07535 (99.92465),4 8,2022/10/25 09:47:18,
-145,5038175799,주식회사 유엔텔,이창수,분석,8459222840,84.806,86.323,-0.08340 (99.9166),1 4,2022/10/25 09:18:44,
-146,3128142071,선원건설 주식회사,맹학열,분석,8458862500,84.802,86.319,-0.08771 (99.91229),10 3,2022/10/24 15:18:05,
-147,1078616772,노드링크주식회사,장용철,분석,8458452060,84.798,86.315,-0.09261 (99.90739),2 4,2022/10/20 10:46:46,
-148,2158753003,주식회사 이예스피,민은정,분석,8458380850,84.797,86.314,-0.09345 (99.90655),12 3,2022/10/25 09:58:35,
-149,3118117318,주식회사 시온,조영호,분석,8458252080,84.795,86.313,-0.09499 (99.90501),1 2,2022/10/26 08:33:20,
-150,6658800635,주식회사 그린텔,임성순,분석,8457746000,84.79,86.308,-0.10103 (99.89897),11 6,2022/10/26 07:51:16,
-151,6898801402,주식회사 씨엔에스전기통신,고석철,분석,8457723171,84.79,86.308,-0.10130 (99.8987),10 5,2022/10/25 18:48:32,
-152,4088118945,대신정보통신 주식회사,이재원,분석,8457360402,84.786,86.304,-0.10563 (99.89437),10 11,2022/10/25 09:48:05,
-153,1358119406,대보정보통신 주식회사,김상욱,분석,8457078062,84.783,86.301,-0.10900 (99.891),15 5,2022/10/26 08:22:07,
-154,6298700796,주식회사 오엔에스,오영순,분석,8456776450,84.779,86.298,-0.11261 (99.88739),5 8,2022/10/25 14:01:14,
-155,3128143575,주식회사 광진통신,김홍열,분석,8455748650,84.768,86.288,-0.12487 (99.87513),11 8,2022/10/24 15:52:37,
-156,2158190006,광명인터컴(주),오광세,분석,8455097100,84.761,86.281,-0.13265 (99.86735),15 9,2022/10/20 13:17:52,
-157,4088164852,(주)해림테크,김화순,분석,8454950000,84.76,86.279,-0.13441 (99.86559),4 8,2022/10/25 18:13:56,
-158,4118131134,가나안정보통신(주),유원주,분석,8454916530,84.759,86.279,-0.13480 (99.8652),13 6,2022/10/21 11:56:08,
-159,2208139700,(주)애플파워,김성국,분석,8453873460,84.748,86.268,-0.14726 (99.85274),12 13,2022/10/25 16:53:57,
-160,1148137654,(주)미동이엔씨,이병복,분석,8453425000,84.743,86.264,-0.15261 (99.84739),13 14,2022/10/26 09:00:17,
