
,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
11,-9,1058164176,(주)신보파워텍,공민우,분석,219993302.0,84.0,87.704,88.344,-0.09883 (99.90117),6 3,2024/10/31 11:16:21,낙찰하한선 미달
12,-10,1068648117,주식회사 티원엘에스,김영규,분석,219984170.0,84.0,87.7,88.34,-0.10301 (99.89699),7 11,2024/10/29 20:00:58,낙찰하한선 미달
13,-11,1058693453,주식회사태융정보통신,문성준,분석,219962824.0,83.8,87.691,88.332,-0.11277 (99.88723),1 4,2024/10/31 11:04:36,낙찰하한선 미달
14,-12,2118193336,(주)국제비엠에스,윤도선,분석,219955240.0,83.8,87.688,88.329,-0.11625 (99.88375),13 12,2024/10/29 15:21:37,낙찰하한선 미달
15,-13,2298139274,(주)영풍전력설비,심문수,분석,219947050.0,83.8,87.685,88.325,-0.11999 (99.88001),7 14,2024/10/30 11:57:08,낙찰하한선 미달
16,-14,2048635411,주식회사 화산에스티아이,이명재,분석,219919933.0,83.4,87.673,88.314,-0.13240 (99.8676),13 9,2024/10/29 15:45:00,낙찰하한선 미달
17,-15,5298100062,주식회사 알에프코리아,신현성,분석,219906820.0,83.4,87.667,88.309,-0.13841 (99.86159),13 9,2024/10/30 09:31:28,낙찰하한선 미달
18,-16,1208105711,주식회사 삼진일렉스,김성관,분석,219906790.0,83.4,87.667,88.309,-0.13842 (99.86158),8 15,2024/10/30 14:52:04,낙찰하한선 미달
19,-17,2108173069,주식회사 대한전력,김미경,분석,219892182.0,83.2,87.661,88.303,-0.14510 (99.8549),1 15,2024/10/30 18:02:38,낙찰하한선 미달
20,-18,2308103607,주식회사 디케이앤트,양동국,분석,219878890.0,83.2,87.655,88.298,-0.15119 (99.84881),11 15,2024/10/30 17:53:35,낙찰하한선 미달
21,-19,1298104500,주식회사 상지건설,김영신,분석,219870970.0,83.0,87.652,88.295,-0.15481 (99.84519),3 6,2024/10/30 09:30:51,낙찰하한선 미달
22,-20,1058199938,삼호전자통신(주),이경희,분석,219855910.0,83.0,87.646,88.289,-0.16171 (99.83829),10 4,2024/10/30 09:48:23,낙찰하한선 미달
23,-21,1138137229,두복산전(주),이영두,분석,219852410.0,82.8,87.644,88.287,-0.16331 (99.83669),3 6,2024/10/30 10:58:47,낙찰하한선 미달
24,-22,1148135087,장한전산(주),이상철,분석,219852372.0,82.8,87.644,88.287,-0.16332 (99.83668),11 1,2024/10/30 13:34:02,낙찰하한선 미달
25,-23,5288601141,주식회사재원정보,천지명,분석,219848045.0,82.8,87.642,88.286,-0.16530 (99.8347),11 15,2024/10/31 10:39:06,낙찰하한선 미달
26,-24,1171187825,신원전자,안희덕,분석,219814610.0,82.6,87.628,88.272,-0.18061 (99.81939),9 11,2024/10/30 09:50:16,낙찰하한선 미달
27,-25,2108165652,키코아이비에스주식회사,공재근,분석,219745900.0,82.0,87.599,88.244,-0.21205 (99.78795),10 15,2024/10/30 11:34:56,낙찰하한선 미달
28,-26,2138800230,주식회사 성민전기통신,홍종애,분석,219731148.0,81.8,87.593,88.239,-0.21880 (99.7812),8 11,2024/10/31 08:41:30,낙찰하한선 미달
29,-27,1138683368,주식회사 에스엠시스템즈,이승환,분석,219726500.0,81.8,87.591,88.237,-0.22093 (99.77907),1 3,2024/10/31 09:16:12,낙찰하한선 미달
