,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,102,2148665907,미래아이티 주식회사,송정화,분석,84897600,88.144,87.815,-0.49167 (99.50833),1 14,2024/04/19 16:31:46,
2,103,1018126108,(주)일능,심금자,분석,84899800,88.146,87.817,-0.48907 (99.51093),3 1,2024/04/24 09:18:45,
3,104,1108190166,(주)페타네트워크,강인희,분석,84900536,88.147,87.818,-0.48820 (99.5118),15 8,2024/04/23 08:46:22,
4,105,1198616251,주식회사 누리인프라,정성우,분석,84901000,88.147,87.819,-0.48766 (99.51234),11 4,2024/04/22 14:10:40,
5,106,1198618088,주식회사 하이넷 네트웍스,김동순,분석,84906100,88.153,87.824,-0.48165 (99.51835),14 13,2024/04/24 09:56:03,
6,107,1128118909,(주)한일종합산업,박응석,분석,84908000,88.155,87.826,-0.47941 (99.52059),15 3,2024/04/23 11:19:55,
7,108,1208782160,에스엔에스이서비스주식회사,정경식,분석,84908300,88.155,87.826,-0.47905 (99.52095),9 15,2024/04/22 10:49:34,
8,109,1298155066,일조텔레콤(주),김문섭,분석,84909020,88.156,87.827,-0.47820 (99.5218),1 8,2024/04/23 15:24:41,
9,110,1088180573,다올정보기술주식회사,한숙기,분석,84910121,88.157,87.828,-0.47691 (99.52309),9 1,2024/04/22 17:13:34,
10,111,4208600611,주식회사 클라모스,김용택,분석,84910900,88.158,87.829,-0.47599 (99.52401),13 15,2024/04/24 09:57:27,
11,112,2170366237,염광통신공사,기홍용,분석,84911900,88.159,87.83,-0.47481 (99.52519),12 5,2024/04/22 19:56:18,
12,113,2068650742,한선씨앤씨 주식회사,장홍식,분석,84913295,88.161,87.831,-0.47316 (99.52684),9 14,2024/04/19 10:26:59,
13,114,2158691790,에이브이에스텍(주),박주영,분석,84916800,88.165,87.835,-0.46903 (99.53097),14 11,2024/04/19 18:40:27,
