,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
42,143,2148625486,(주)유엔네트웍스,최정민,분석,46193761.0,87.894,87.832,0.09975 (100.09975),13 14,2024/05/21 16:06:37,
43,144,7218601565,주식회사 라인전기,이호동,분석,46194660.0,87.896,87.834,0.10169 (100.10169),15 2,2024/05/23 08:33:53,
44,145,1198178984,주식회사그린이피에스,지창근,분석,46194900.0,87.897,87.834,0.10221 (100.10221),7 9,2024/05/21 13:09:25,
45,146,1088114068,(주)대인정보통신,유재호,분석,46195100.0,87.897,87.835,0.10265 (100.10265),3 11,2024/05/22 15:28:20,
46,147,5028131745,(주)에즈웰플러스,이기호,분석,46195353.0,87.897,87.835,0.10320 (100.1032),9 2,2024/05/23 07:55:59,
47,148,1188117437,탑인더스트리(주),최정현,분석,46196370.0,87.899,87.837,0.10540 (100.1054),3 4,2024/05/22 09:39:21,
48,149,1058680303,주식회사 제이엔디케이,이재식,분석,46197500.0,87.901,87.839,0.10785 (100.10785),8 12,2024/05/21 16:17:39,
49,150,1178169252,엠에스온(주),이경미,분석,46197752.0,87.902,87.84,0.10840 (100.1084),5 4,2024/05/21 16:07:09,
0,151,1138621101,(주)아이피로드,강철지,분석,46198629.0,87.904,87.841,0.11030 (100.1103),3 7,2024/05/21 11:24:41,
1,152,1238640537,주식회사 위지온,우영진,분석,46199483.0,87.905,87.843,0.11215 (100.11215),8 7,2024/05/23 00:22:21,
2,153,1088167041,(주)가디엘,최혜심,분석,46199835.0,87.906,87.844,0.11291 (100.11291),1 7,2024/05/22 16:11:12,
3,154,7998800243,주식회사 비티엘정보통신,최성진,분석,46199922.0,87.906,87.844,0.11310 (100.1131),11 6,2024/05/21 10:01:42,
4,155,1138637772,(주)헤로스테크,박우현,분석,46200100.0,87.906,87.844,0.11348 (100.11348),8 10,2024/05/21 11:16:00,
5,156,1168161465,(주)솔루텍시스템,이인명,분석,46201217.0,87.909,87.846,0.11590 (100.1159),8 14,2024/05/21 16:37:10,
6,157,2028158261,주식회사 남두,김승균,분석,46201620.0,87.909,87.847,0.11678 (100.11678),12 13,2024/05/23 07:24:45,
7,158,2128140491,(주)벧엘정보통신,이효진,분석,46203205.0,87.912,87.85,0.12021 (100.12021),8 9,2024/05/23 05:14:05,
8,159,2098132812,주식회사 피치테크,이현철,분석,46203290.0,87.912,87.85,0.12040 (100.1204),1 9,2024/05/22 09:46:16,
9,160,2208869047,양지전기 주식회사,박승연,분석,46203710.0,87.913,87.851,0.12131 (100.12131),9 5,2024/05/22 11:19:27,
10,161,2037666794,금성텔레콤,정용상,분석,46205220.0,87.916,87.854,0.12458 (100.12458),10 13,2024/05/21 10:45:02,
11,162,1078640952,(주)바비젼,이주일,분석,46205270.0,87.916,87.854,0.12469 (100.12469),1 9,2024/05/21 10:04:50,
12,163,1138632587,지성정보 주식회사,이수호,분석,46205948.0,87.918,87.855,0.12616 (100.12616),12 1,2024/05/23 08:08:51,
13,164,6278801874,주식회사 포킨,김영민,분석,46206568.0,87.919,87.856,0.12750 (100.1275),6 7,2024/05/21 17:48:11,
14,165,1058164176,(주)신보파워텍,공민우,분석,46207620.0,87.921,87.858,0.12978 (100.12978),8 5,2024/05/22 20:24:57,
15,166,1108131416,중앙하이텔 주식회사,윤석래,분석,46208220.0,87.922,87.86,0.13108 (100.13108),2 4,2024/05/22 12:41:09,
16,167,1148680379,주식회사 다경시스템,김대원,분석,46208820.0,87.923,87.861,0.13238 (100.13238),2 5,2024/05/21 15:28:44,
17,168,1198623733,주식회사 케이비티정보통신,유후군,분석,46209012.0,87.923,87.861,0.13279 (100.13279),13 4,2024/05/22 17:35:17,
18,169,2048187419,(주)디지털우민,문장석,분석,46209474.0,87.924,87.862,0.13380 (100.1338),12 10,2024/05/22 11:42:48,
19,170,2208106252,주식회사 중선아이티씨,김학선,분석,46209600.0,87.925,87.862,0.13407 (100.13407),7 5,2024/05/22 11:26:33,
20,171,2148673033,대일전기통신(주),김종엽,분석,46210850.0,87.927,87.865,0.13678 (100.13678),11 14,2024/05/22 07:00:41,
21,172,2208100563,경창계전 주식회사,이성욱,분석,46210890.0,87.927,87.865,0.13686 (100.13686),7 8,2024/05/21 10:28:57,
22,173,2028159713,거산음향통신(주),김기만,분석,46211180.0,87.928,87.865,0.13749 (100.13749),8 1,2024/05/22 09:52:27,
23,174,1171187825,신원전자,안희덕,분석,46211300.0,87.928,87.865,0.13775 (100.13775),7 6,2024/05/22 09:25:58,
24,174,1078757203,주식회사 비에스파워,정병섭,분석,46211300.0,87.928,87.865,0.13775 (100.13775),10 11,2024/05/21 13:56:21,
25,176,1188113673,동해정보통신 주식회사,이창원,분석,46211321.0,87.928,87.865,0.13780 (100.1378),8 2,2024/05/22 07:46:07,
26,177,1068180183,보람정보통신서비스(주),정승원,분석,46211500.0,87.928,87.866,0.13819 (100.13819),4 14,2024/05/21 23:05:53,
27,178,2118691240,거성일렉콤(주),박성래,분석,46211795.0,87.929,87.866,0.13883 (100.13883),2 11,2024/05/21 10:23:45,
28,179,1058714080,(주) 한일이앤에스,박완교,분석,46212105.0,87.929,87.867,0.13950 (100.1395),6 13,2024/05/22 13:16:55,
29,180,2098133432,(주)가람씨앤씨,임승덕,분석,46212806.0,87.931,87.868,0.14102 (100.14102),12 7,2024/05/21 11:21:35,
30,181,1068157019,(주)세호영상,박석신,분석,46214200.0,87.933,87.871,0.14404 (100.14404),11 13,2024/05/22 09:20:25,
31,182,1048603486,우영메카(주),김규승,분석,46214228.0,87.933,87.871,0.14410 (100.1441),5 12,2024/05/21 21:46:49,
32,183,1428168147,주식회사 다옴건설,이창석,분석,46215200.0,87.935,87.873,0.14620 (100.1462),11 2,2024/05/22 10:24:18,
33,184,6158139437,이수이 주식회사,권득윤,분석,46215700.0,87.936,87.874,0.14729 (100.14729),14 3,2024/05/22 13:41:06,
34,185,1098195410,(주)신성글로벌네트워크,홍우석,분석,46215935.0,87.937,87.874,0.14780 (100.1478),4 13,2024/05/21 15:48:21,
35,186,1068188579,(주)키월드정보통신,김영범,분석,46216120.0,87.937,87.875,0.14820 (100.1482),12 14,2024/05/22 08:57:21,
36,187,2148758567,주식회사 한빛에스아이,황명구,분석,46217549.0,87.94,87.877,0.15129 (100.15129),15 11,2024/05/22 09:36:18,
37,188,1098162433,광명정보통신 주식회사,김형준,분석,46217570.0,87.94,87.877,0.15134 (100.15134),9 4,2024/05/21 22:18:31,
38,189,2158693084,주식회사 온파워아이앤티,송종희,분석,46217900.0,87.94,87.878,0.15205 (100.15205),15 5,2024/05/21 12:04:03,
