,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
32,133,1218147617,주식회사 한라인프라코어,유수상,분석,4740398400,86.049,86.114,-0.25610 (99.7439),1 8,2024/07/24 17:16:05,
33,134,4028148776,유한회사 시원,김형모,분석,4740548730,86.052,86.117,-0.25290 (99.7471),1 8,2024/07/24 13:46:42,
34,135,2298131888,세운씨앤텍 (주),이미경,분석,4740621820,86.053,86.118,-0.25135 (99.74865),12 8,2024/07/23 10:21:13,
35,136,2028138682,협진통신(주),이승훈,분석,4740634738,86.054,86.118,-0.25108 (99.74892),12 6,2024/07/19 14:30:59,
36,137,1078197085,(주)코어넷,소흥섭,분석,4740672010,86.054,86.119,-0.25029 (99.74971),1 4,2024/07/24 10:58:41,
37,138,2148668087,주식회사 네오티스,이운학,분석,4740746394,86.056,86.12,-0.24870 (99.7513),13 8,2024/07/23 09:54:08,
38,139,5058112640,(주)태림,고순란,분석,4740820750,86.057,86.122,-0.24713 (99.75287),13 5,2024/07/24 11:20:21,
39,140,5158116677,주식회사 한텔,한강식,분석,4740840820,86.058,86.122,-0.24670 (99.7533),15 4,2024/07/24 16:16:57,
40,141,1288121980,원일통신(주),이규명,분석,4740873400,86.058,86.123,-0.24601 (99.75399),15 2,2024/07/22 14:43:43,
41,142,2058126341,종합전기 주식회사,김유훈,분석,4741059363,86.062,86.126,-0.24205 (99.75795),13 2,2024/07/25 08:12:43,
42,143,4028117161,(유)제일통신건설,이병식,분석,4741079365,86.062,86.126,-0.24163 (99.75837),3 9,2024/07/24 08:50:21,
43,144,4108603848,에스앤지텔레콤 주식회사,오영환,분석,4741495000,86.07,86.134,-0.23280 (99.7672),12 4,2024/07/23 09:13:50,
44,145,1268162461,(주)진영이엔씨,김진석,분석,4741687650,86.074,86.137,-0.22871 (99.77129),15 9,2024/07/23 12:09:28,
45,146,2068650742,한선씨앤씨 주식회사,장홍식,분석,4741812842,86.076,86.14,-0.22605 (99.77395),5 8,2024/07/19 09:25:36,
46,147,5048177295,(주)신라이앤씨,김용호,분석,4741823780,86.077,86.14,-0.22581 (99.77419),5 8,2024/07/25 09:04:59,
