순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
114,6118700363,주식회사 서경산업,이대규,분석,59803541,88.864,89.818,2.06527 (102.06527),14 1,2021/09/29 18:46:07,
115,1078104441,진화전기(주),문충모,분석,59853628,88.94,89.893,2.15100 (102.151),1 4,2021/09/30 09:04:58,
116,2098211809,사단법인 해오름장애인협회,노영주,분석,59935620,89.065,90.016,2.29134 (102.29134),4 7,2021/09/29 09:04:59,
117,1208147588,서현정보통신(주),배상만,분석,59994000,89.153,90.104,2.39126 (102.39126),15 8,2021/09/29 07:33:45,
118,2128107793,호곡종합건설(주),박성환,분석,60133420,89.366,90.313,2.62990 (102.6299),7 11,2021/09/30 09:34:24,
119,2158197601,(주)알파시큐넷,강도석,분석,60500000,89.924,90.864,3.25736 (103.25736),7 1,2021/09/29 13:25:51,
-1,2178601498,주식회사 엔키텍,원영춘,분석,59062752,87.736,88.705,0.79730 (100.7973),2 9,2021/09/27 08:02:50,낙찰하한선 미달
-2,1088178984,(주)포소드,마명철,분석,59062630,87.736,88.705,0.79709 (100.79709),12 5,2021/09/29 10:35:03,낙찰하한선 미달
-3,1098643839,주식회사 케이비정보통신,지인현,분석,59062517,87.736,88.705,0.79689 (100.79689),9 3,2021/09/29 09:23:08,낙찰하한선 미달
-4,1078127876,동하시티개발주식회사,윤종사,분석,59057144,87.728,88.697,0.78770 (100.7877),14 13,2021/09/29 21:21:52,낙찰하한선 미달
-5,1068644033,(주)코맥스디에스씨,안병호,분석,59056675,87.727,88.696,0.78689 (100.78689),14 10,2021/09/29 10:21:45,낙찰하한선 미달
-6,2308100158,국제컨트로닉스 주식회사,김동배,분석,59055040,87.724,88.693,0.78410 (100.7841),4 9,2021/09/23 17:47:33,낙찰하한선 미달
-7,1108604272,소리콤 주식회사,정재홍,분석,59054340,87.723,88.692,0.78290 (100.7829),9 2,2021/09/28 21:50:14,낙찰하한선 미달
-8,2158726791,(주)21세기정보기술,송채현,분석,59050833,87.718,88.687,0.77690 (100.7769),7 8,2021/09/29 12:26:18,낙찰하한선 미달
-9,1138655784,주식회사 유씨큐넷,김경,분석,59049183,87.715,88.685,0.77407 (100.77407),2 7,2021/09/24 16:41:35,낙찰하한선 미달
-10,2618126604,주식회사 래오시스,윤경,분석,59048900,87.715,88.684,0.77359 (100.77359),13 3,2021/09/30 09:44:49,낙찰하한선 미달
-11,8058600302,주식회사 케이엔엑스정보통신,홍지연,분석,59036986,87.697,88.666,0.75319 (100.75319),10 13,2021/09/27 12:55:37,낙찰하한선 미달
-12,1058188805,(주)경성텔레콤,김천수,분석,59036690,87.696,88.666,0.75269 (100.75269),8 7,2021/09/29 09:21:24,낙찰하한선 미달
-13,2011497895,정우이앤씨,유동환,분석,59036452,87.696,88.665,0.75228 (100.75228),2 3,2021/09/29 11:22:20,낙찰하한선 미달
-14,1138137229,두복산전(주),이영두,분석,59035360,87.694,88.664,0.75041 (100.75041),8 15,2021/09/29 09:53:12,낙찰하한선 미달
-15,2021680862,삼기정보통신,김수봉,분석,59033770,87.692,88.661,0.74769 (100.74769),13 1,2021/09/23 13:25:52,낙찰하한선 미달
-16,2118193336,(주)국제비엠에스,윤도선,분석,59032079,87.689,88.659,0.74480 (100.7448),13 9,2021/09/29 08:46:36,낙찰하한선 미달
-17,2208804175,주식회사 예준시스템,이인애,분석,59031380,87.688,88.658,0.74360 (100.7436),1 10,2021/09/30 09:09:34,낙찰하한선 미달
-18,1148190678,주식회사 에드원,김춘걸,분석,59030000,87.686,88.656,0.74124 (100.74124),15 9,2021/09/23 11:08:12,낙찰하한선 미달
-19,1138640850,주식회사 우솔네트웍스,유상열,분석,59028300,87.684,88.653,0.73833 (100.73833),3 12,2021/09/27 22:38:44,낙찰하한선 미달
-20,1068180183,보람정보통신서비스(주),정승원,분석,59027600,87.683,88.652,0.73713 (100.73713),4 9,2021/09/24 00:56:50,낙찰하한선 미달
-21,1098631783,(주)엘이디세이버,홍현철,분석,59024100,87.677,88.647,0.73114 (100.73114),7 6,2021/09/29 12:05:37,낙찰하한선 미달
-22,3798700760,로안테크(주),장승현,분석,59022610,87.675,88.645,0.72859 (100.72859),12 5,2021/09/28 14:33:31,낙찰하한선 미달
-23,2018603701,소성정보기술 (주),김금남,분석,59019078,87.67,88.639,0.72254 (100.72254),14 3,2021/09/30 09:16:31,낙찰하한선 미달
-24,2021067983,엘지전자통신공사,최태익,분석,59018000,87.668,88.638,0.72070 (100.7207),7 8,2021/09/30 08:22:14,낙찰하한선 미달
-25,1138679165,주식회사 드림아이시스템,유원준,분석,59017780,87.668,88.637,0.72032 (100.72032),11 8,2021/09/27 17:06:54,낙찰하한선 미달
