순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
-90,1098197140,(주)코맥스시큐리티,,분석,499941288,87.038,88.457,0.4388 (100.4388),9 14,2021/04/29 10:06:40,심사제외
-91,1168161465,(주)솔루텍시스템,,분석,499937871,87.038,88.457,0.4382 (100.4382),7 14,2021/04/29 08:44:11,심사제외
-92,1328105709,(주)왕선전설,,분석,499930902,87.036,88.455,0.4368 (100.4368),7 9,2021/04/30 09:04:56,심사제외
-93,1058693453,주식회사태융정보통신,,분석,499926900,87.036,88.455,0.4359 (100.4359),13 8,2021/04/29 23:29:51,심사제외
-94,2028158261,주식회사 남두,,분석,499918458,87.034,88.453,0.4343 (100.4343),1 7,2021/04/29 09:15:12,심사제외
-95,2068666263,세움기술 주식회사,,분석,499914476,87.033,88.452,0.4335 (100.4335),6 15,2021/04/29 17:59:15,심사제외
-96,1198133411,주식회사 나경이엔씨,,분석,499914475,87.033,88.452,0.4334 (100.4334),6 7,2021/04/28 16:32:27,심사제외
-97,1208793560,주식회사 아이페이지온,,분석,499889650,87.029,88.448,0.4285 (100.4285),4 13,2021/04/30 09:26:18,심사제외
-98,1138150993,주식회사 우진정보,,분석,499883000,87.027,88.447,0.4271 (100.4271),12 8,2021/04/29 11:06:29,심사제외
-99,1138653995,주식회사 아이티에스엠,,분석,499855982,87.022,88.442,0.4217 (100.4217),7 10,2021/04/28 10:34:13,심사제외
-100,2148734721,(주)다모아테크,,분석,499847279,87.021,88.44,0.4200 (100.42),10 5,2021/04/28 14:44:36,심사제외
-101,2048131967,(주)용백전설,,분석,499838450,87.019,88.439,0.4182 (100.4182),7 3,2021/04/28 09:46:34,심사제외
-102,2208680918,(주)엠디엠알,,분석,499828365,87.017,88.437,0.4162 (100.4162),4 12,2021/04/28 19:36:37,심사제외
-103,1188111452,동화전자산업(주),,분석,499816200,87.015,88.435,0.4137 (100.4137),12 7,2021/04/29 14:12:51,심사제외
-104,1098185343,주식회사 오티에스씨,,분석,499811859,87.014,88.434,0.4128 (100.4128),9 8,2021/04/30 09:21:29,심사제외
-105,2290162579,우성전기통신,,분석,499806466,87.013,88.433,0.4118 (100.4118),7 8,2021/04/28 12:13:02,심사제외
-106,1138139080,(주)성강통신기술사사무소,,분석,499798997,87.012,88.432,0.4103 (100.4103),9 13,2021/04/30 09:27:30,심사제외
-107,1018644343,주식회사 세광이엔씨,,분석,499787549,87.01,88.43,0.4080 (100.408),7 14,2021/04/28 10:15:44,심사제외
-108,1058660665,(주)일신전업,,분석,499786737,87.009,88.43,0.4078 (100.4078),4 5,2021/04/30 05:49:13,심사제외
-109,2298112824,주식회사 콤텍시스템,,분석,499786450,87.009,88.43,0.4077 (100.4077),3 13,2021/04/29 13:48:04,심사제외
-110,1138632307,(주)인투에스,,분석,499756459,87.004,88.424,0.4017 (100.4017),4 9,2021/04/28 10:55:57,심사제외
-111,2148180640,(주)남인정보통신,,분석,499754198,87.003,88.424,0.4013 (100.4013),3 10,2021/04/28 10:28:42,심사제외
-112,2168100638,원흥전설(주),,분석,499736600,87.0,88.421,0.3977 (100.3977),6 10,2021/04/29 10:59:59,심사제외
-113,1018154598,씨엔에스코리아(주),,분석,499718857,86.997,88.418,0.3942 (100.3942),15 12,2021/04/30 07:53:16,심사제외
-114,2018603701,소성정보기술 (주),,분석,499716407,86.996,88.417,0.3937 (100.3937),8 7,2021/04/29 09:15:01,심사제외
-115,1098143173,에이스건설 주식회사,,분석,499711400,86.995,88.416,0.3927 (100.3927),4 8,2021/04/30 09:16:39,심사제외
-116,2188120741,케이씨티정보통신(주),,분석,499695310,86.992,88.414,0.3894 (100.3894),8 5,2021/04/30 11:18:00,심사제외
-117,1288618438,주식회사 엔지스웨이,,분석,499687000,86.991,88.412,0.3877 (100.3877),15 6,2021/04/29 12:04:01,심사제외
-118,2108130492,명신정보통신(주),,분석,499676540,86.989,88.41,0.3856 (100.3856),11 4,2021/04/29 09:23:19,심사제외
-119,1088179135,주왕전기통신(주),,분석,499668090,86.987,88.409,0.3840 (100.384),7 9,2021/04/29 08:01:28,심사제외
-120,1138111990,한경기전(주),,분석,499662000,86.986,88.408,0.3827 (100.3827),15 6,2021/04/29 11:03:39,심사제외
-121,2048620636,(주)유시스,,분석,499650800,86.984,88.406,0.3805 (100.3805),9 12,2021/04/28 14:02:05,심사제외
-122,2298119773,양우건설 주식회사,,분석,499648180,86.983,88.405,0.3800 (100.38),9 8,2021/04/29 13:24:00,심사제외
-123,5088137937,(주)벨류데이터,,분석,499645688,86.983,88.405,0.3795 (100.3795),3 9,2021/04/30 11:03:10,심사제외
-124,1068180878,주식회사 신보,,분석,499640250,86.982,88.404,0.3784 (100.3784),13 10,2021/04/30 09:02:16,심사제외
-125,2068111894,(주)아파트피아,,분석,499623780,86.979,88.401,0.3750 (100.375),14 9,2021/04/28 11:07:33,심사제외
-126,1178169252,엠에스온(주),,분석,499610845,86.976,88.399,0.3725 (100.3725),7 11,2021/04/29 10:53:11,심사제외
-127,1068660843,세중물산 주식회사,,분석,499593921,86.973,88.396,0.3691 (100.3691),4 11,2021/04/28 15:39:34,심사제외
-128,2038101742,株式會社 革新電工社,,분석,499588950,86.972,88.395,0.3681 (100.3681),7 8,2021/04/29 09:08:21,심사제외
-129,2048159043,이앤씨텔레콤(주),,분석,499581470,86.971,88.393,0.3665 (100.3665),3 11,2021/04/29 10:12:54,심사제외
-130,1138694415,건웅정보통신 주식회사,,분석,499580900,86.971,88.393,0.3664 (100.3664),11 9,2021/04/29 09:18:41,심사제외
-131,1068127039,진명이엔씨(주),,분석,499564060,86.968,88.39,0.3631 (100.3631),5 7,2021/04/28 15:21:20,심사제외
-132,1018639665,(주)한양인프라넷,,분석,499564060,86.968,88.39,0.3631 (100.3631),10 8,2021/04/28 15:20:18,심사제외
-133,2158768281,태일정보시스템(주),,분석,499562806,86.967,88.39,0.3628 (100.3628),10 6,2021/04/28 10:58:48,심사제외
-134,1118124994,오리엔트주식회사,,분석,499561566,86.967,88.39,0.3626 (100.3626),6 1,2021/04/30 09:25:43,심사제외
-135,1018151776,(주)지디시,,분석,499556091,86.966,88.389,0.3615 (100.3615),10 1,2021/04/28 17:46:28,심사제외
-136,1018176627,(주)엔터정보통신,,분석,499532697,86.962,88.385,0.3568 (100.3568),10 1,2021/04/29 14:37:32,심사제외
-137,1078127876,동하시티개발주식회사,,분석,499531203,86.962,88.385,0.3565 (100.3565),2 5,2021/04/29 23:03:23,심사제외
