,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,152,2018603701,소성정보기술 주식회사,김금남,분석,50904533,87.972,87.555,-0.21540 (99.7846),,2024/11/27 09:15:37,
2,153,1138613391,주식회사 지에스씨앤씨,석덕림,분석,50905040,87.973,87.556,-0.21441 (99.78559),,2024/11/27 09:40:22,
3,154,1068184554,(주)송화전기통신,고진홍,분석,50905190,87.973,87.557,-0.21411 (99.78589),,2024/11/25 13:51:55,
4,155,1138680513,주식회사연수이앤씨,조운호,분석,50908051,87.978,87.562,-0.20851 (99.79149),,2024/11/27 16:22:31,
5,156,1428136631,주식회사 만사시스템,조호진,분석,50908760,87.979,87.563,-0.20712 (99.79288),,2024/11/25 15:36:47,
6,157,1078140904,대월기전(주),김승연,분석,50909045,87.98,87.563,-0.20656 (99.79344),,2024/11/26 16:04:02,
7,158,1068631595,솔라윈시스템(주),허성미,분석,50909735,87.981,87.564,-0.20520 (99.7948),,2024/11/26 10:52:39,
8,159,1138156089,코아아이앤씨(주),김현모,분석,50909940,87.981,87.565,-0.20480 (99.7952),,2024/11/27 17:32:36,
9,160,2618117745,주식회사 알엔알,석민철,분석,50911270,87.983,87.567,-0.20220 (99.7978),,2024/11/26 13:12:07,
10,161,1138148366,주식회사 레이어스,조인선,분석,50911827,87.984,87.568,-0.20110 (99.7989),,2024/11/25 12:04:47,
11,162,1068648117,주식회사 티원엘에스,김영규,분석,50911878,87.985,87.568,-0.20100 (99.799),,2024/11/25 20:30:47,
12,163,2148854189,(주)태원전기,김응식,분석,50913153,87.987,87.57,-0.19850 (99.8015),,2024/11/27 12:36:25,
13,164,8018600805,세인트로그 주식회사,김세연,분석,50914845,87.99,87.573,-0.19519 (99.80481),,2024/11/26 10:22:25,
14,165,1888601171,에이케이에스정보주식회사,안기수,분석,50915908,87.992,87.575,-0.19310 (99.8069),,2024/11/27 10:03:58,
15,166,1138694415,건웅정보통신 주식회사,김지유,분석,50916980,87.993,87.577,-0.19100 (99.809),,2024/11/26 16:54:41,
16,167,1178158978,주식회사 화일이엔에프,박광섭,분석,50917000,87.993,87.577,-0.19096 (99.80904),,2024/11/25 14:20:00,
17,168,1078651497,모바일파킹 유한회사,김중근,분석,50918102,87.995,87.579,-0.18880 (99.8112),,2024/11/25 16:06:42,
18,169,1208614175,주식회사 포이시스,곽태수,분석,50918600,87.996,87.58,-0.18783 (99.81217),,2024/11/25 15:04:21,
19,170,2108173069,주식회사 대한전력,김미경,분석,50919224,87.997,87.581,-0.18660 (99.8134),,2024/11/27 08:46:05,
20,171,2528700223,동건이앤씨 주식회사,이정순,분석,50919280,87.997,87.581,-0.18649 (99.81351),,2024/11/28 09:29:15,
21,172,1138636870,주식회사 나우시스템,이종한,분석,50922280,88.003,87.586,-0.18061 (99.81939),,2024/11/27 09:12:17,
22,173,6358700388,(주)예본아이디,김정민,분석,50924880,88.007,87.59,-0.17552 (99.82448),,2024/11/26 10:09:18,
23,174,3958800527,주식회사 에스에이치아이티,정태순,분석,50926213,88.009,87.593,-0.17290 (99.8271),,2024/11/26 09:06:12,
24,175,1098643839,주식회사 케이비정보통신,지인현,분석,50926825,88.01,87.594,-0.17170 (99.8283),,2024/11/28 09:00:23,
25,176,1058641085,(주)에스엠전력,김동율,분석,50927846,88.012,87.596,-0.16970 (99.8303),,2024/11/24 20:32:01,
26,177,2148752224,(주)아이젠시스템즈,안상용,분석,50927850,88.012,87.596,-0.16970 (99.8303),,2024/11/26 15:11:16,
27,178,2118612681,(주)해우정보시스템,김병헌,분석,50930600,88.017,87.6,-0.16430 (99.8357),,2024/11/27 09:33:21,
28,179,1848801998,주식회사 기어,강호왕,분석,50931519,88.018,87.602,-0.16250 (99.8375),,2024/11/22 10:24:18,
29,180,2208727337,주식회사주니파워네트웍스,노병준,분석,50931520,88.018,87.602,-0.16250 (99.8375),,2024/11/25 11:22:47,
30,181,2066762193,보성통신,문용권,분석,50931640,88.019,87.602,-0.16227 (99.83773),,2024/11/26 11:19:15,
31,182,1138141456,(주)나우아이앤씨,안남훈,분석,50931875,88.019,87.603,-0.16181 (99.83819),,2024/11/26 16:30:18,
32,183,5198102535,주식회사 이음유앤아이,박영재,분석,50932200,88.02,87.603,-0.16117 (99.83883),,2024/11/26 08:08:18,
33,184,1198606485,주식회사 에이치엠솔루션,이상진,분석,50932500,88.02,87.604,-0.16058 (99.83942),,2024/11/22 10:22:33,
34,185,1138157962,(주)하이눈정보통신,이희경,분석,50932640,88.02,87.604,-0.16031 (99.83969),,2024/11/27 10:28:07,
35,186,2298125412,스크린정보통신(주),조승제,분석,50933150,88.021,87.605,-0.15931 (99.84069),,2024/11/28 09:51:29,
36,187,1198601520,주식회사 에스에이치아이앤씨,장덕진,분석,50934060,88.023,87.606,-0.15752 (99.84248),,2024/11/26 17:34:36,
37,188,2048190516,주식회사동훈전설,정준모,분석,50934070,88.023,87.606,-0.15750 (99.8425),,2024/11/27 14:59:54,
38,189,1078619629,염광전기통신(주),최인재,분석,50936000,88.026,87.61,-0.15372 (99.84628),,2024/11/22 14:28:04,
39,190,1068690366,(주)윈투스시스템,신경익,분석,50936467,88.027,87.61,-0.15280 (99.8472),,2024/11/22 11:50:41,
40,191,2068694508,주식회사 웰정보기술,강희춘,분석,50937514,88.029,87.612,-0.15075 (99.84925),,2024/11/27 09:14:26,
41,192,1098197140,(주)코맥스시큐리티,김종정,분석,50937794,88.029,87.613,-0.15020 (99.8498),,2024/11/27 09:58:34,
42,193,2158601380,세계정보시스템(주),한인창,분석,50943686,88.04,87.623,-0.13865 (99.86135),,2024/11/26 09:22:01,
43,194,4778800659,더파트주식회사,강현준,분석,50943700,88.04,87.623,-0.13863 (99.86137),,2024/11/25 10:10:04,
44,195,1098153915,하비넷정보통신(주),이종훈,분석,50944388,88.041,87.624,-0.13728 (99.86272),,2024/11/28 11:35:43,
45,196,1088154468,(주)이젠정보통신,이동필,분석,50944420,88.041,87.624,-0.13721 (99.86279),,2024/11/26 17:26:20,
46,197,1198137042,(주)진명연합전설,엄재준,분석,50944833,88.041,87.625,-0.13640 (99.8636),,2024/11/28 09:48:22,
47,198,1138157550,뉴코리아전자통신 주식회사,조영순,분석,50945088,88.042,87.625,-0.13590 (99.8641),,2024/11/26 10:01:51,
48,199,2038150734,극동음향 주식회사,김상헌,분석,50945290,88.042,87.626,-0.13551 (99.86449),,2024/11/26 15:19:17,
49,200,2068184529,(주)네오티엔씨,조정현,분석,50945710,88.043,87.626,-0.13469 (99.86531),,2024/11/26 14:51:58,
0,201,1088196885,주식회사글로벌정보통신,양진이,분석,50946820,88.045,87.628,-0.13251 (99.86749),,2024/11/25 13:18:54,
1,202,1098651964,셀코정보기술 주식회사,임윤정,분석,50946980,88.045,87.629,-0.13220 (99.8678),,2024/11/26 19:28:05,
