bidNtceNo,bidNtceNm,opengDate,opengRank,bidprcCorpNm
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,93,성민전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,672,주식회사세원이엔아이
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,95,(주)삼경파워텍
20091220387,내정중 교과교실보수 공사,2010-01-04,,주식회사 태림건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,97,대일전기통신(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1346,모현전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,99,주식회사 제이에스파워텍
20091220387,내정중 교과교실보수 공사,2010-01-04,,주식회사 다은건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,101,이천이전력주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,336,주식회사 서진
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,103,(주) 오노프산전
20091220387,내정중 교과교실보수 공사,2010-01-04,,피엔에이건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,105,(주)에스지이엔씨
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1348,대명전기공사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,107,주식회사 삼풍이엔씨
20091220387,내정중 교과교실보수 공사,2010-01-04,,오방종합건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,109,(유)공간전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,674,보령전력  주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,111,(주)성관이엔지
20091220387,내정중 교과교실보수 공사,2010-01-04,,도광건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,113,아성이앤에프(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1350,(주)경일전공
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,115,(주)영재전력
20091220387,내정중 교과교실보수 공사,2010-01-04,,주식회사 우경이엔씨
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,117,(주)신창전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,168,화도종합전기(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,119,(주)미가엔지니어링
20091220387,내정중 교과교실보수 공사,2010-01-04,,주식회사 남우
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,121,(주)동우피엔이
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1352,부원전기공사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,123,영전엔지니어링 주식회사
20091220387,내정중 교과교실보수 공사,2010-01-04,,서경건설주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,125,양서종합무역(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,676,수도이엔씨(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,127,삼우이노베이션
