순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
132,1108131570,(주)조은시스템,,분석,2760184773,88.84,88.976,-0.3581 (99.6419),15 14,2023/05/02 13:54:39,미심사
133,1118114477,주식회사 대흥데이타통신,,분석,2760187540,88.84,88.977,-0.3581 (99.6419),4 13,2023/04/28 16:10:51,미심사
134,6788700537,주식회사 금화전통,,분석,2760226515,88.842,88.978,-0.3566 (99.6434),7 14,2023/05/02 14:33:16,미심사
135,1318612600,주식회사 석원정보통신,,분석,2760235445,88.842,88.978,-0.3563 (99.6437),5 1,2023/05/01 09:37:09,미심사
136,1178186611,주식회사 에프에이일렉콤,,분석,2760238124,88.842,88.978,-0.3562 (99.6438),13 4,2023/05/03 08:50:55,미심사
137,1058746506,(주)파워일렉,,분석,2760262230,88.843,88.979,-0.3554 (99.6446),14 2,2023/05/02 10:40:18,미심사
138,1018651785,주식회사 청심아이티,,분석,2760306658,88.844,88.98,-0.3537 (99.6463),6 13,2023/05/03 10:14:00,미심사
139,1298119624,우일계전공업 주식회사,,분석,2760319100,88.845,88.981,-0.3533 (99.6467),2 15,2023/05/03 09:05:44,미심사
140,2148669602,(주)우호텔레콤,,분석,2760359570,88.846,88.982,-0.3518 (99.6482),6 10,2023/05/02 12:13:11,미심사
141,1108140593,(주)대건이엔씨,,분석,2760429190,88.849,88.984,-0.3493 (99.6507),10 9,2023/05/02 17:57:45,미심사
142,3128196859,주식회사 가델,,분석,2760445300,88.849,88.985,-0.3487 (99.6513),4 12,2023/05/01 22:31:47,미심사
143,2078148017,(주)명신시스템,,분석,2760447930,88.849,88.985,-0.3487 (99.6513),14 11,2023/05/02 16:31:58,미심사
144,2138633042,바른인포테크(주),,분석,2760531036,88.852,88.988,-0.3456 (99.6544),14 2,2023/05/02 09:04:51,미심사
145,1378168164,서부네트웍스(주),,분석,2760533696,88.852,88.988,-0.3456 (99.6544),6 15,2023/05/02 18:41:38,미심사
146,1078154150,주식회사 케이원,,분석,2760578345,88.854,88.989,-0.3439 (99.6561),6 11,2023/05/03 07:33:50,미심사
