,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
10,111,3228701744,주식회사 프리다츠,문영태,분석,101095720.0,87.997,87.92,-0.63350 (99.3665),7 14,2024/08/19 19:12:37,
11,112,2188117964,(주)투윈스컴,박성하,분석,101096930.0,87.999,87.921,-0.63231 (99.36769),15 9,2024/08/19 12:34:05,
12,113,1148711262,주식회사 제이제이에스티,김형중,분석,101097530.0,87.999,87.922,-0.63171 (99.36829),8 15,2024/08/19 09:46:00,
13,114,2188114856,서교정보통신(주),김기설,분석,101097830.0,87.999,87.922,-0.63141 (99.36859),9 12,2024/08/19 18:56:27,
14,115,2298126804,주식회사엔엠엑스이엔씨,이동윤,분석,101099196.0,88.001,87.923,-0.63006 (99.36994),5 9,2024/08/16 10:30:14,
15,116,1068619761,(주) 한걸음정보통신,정진원,분석,101100907.0,88.002,87.925,-0.62836 (99.37164),11 10,2024/08/18 19:45:54,
16,117,1148671792,주식회사 아이티리그,이동준,분석,101101502.0,88.003,87.925,-0.62777 (99.37223),4 3,2024/08/19 10:55:21,
17,118,2048182660,동원오비텍(주),박동을,분석,101105230.0,88.006,87.928,-0.62408 (99.37592),12 4,2024/08/19 17:40:29,
18,119,2148792435,주식회사케이이씨디바이스,이종수,분석,101105405.0,88.006,87.929,-0.62391 (99.37609),13 5,2024/08/19 08:58:30,
19,120,1078682044,명승파워넷 주식회사,공건식,분석,101106110.0,88.007,87.929,-0.62321 (99.37679),8 11,2024/08/16 10:10:24,
20,121,1058199938,삼호전자통신(주),이경희,분석,101110550.0,88.011,87.933,-0.61881 (99.38119),13 3,2024/08/19 10:17:07,
21,122,1208663604,주식회사 한은씨앤씨,김기현,분석,101116200.0,88.017,87.938,-0.61321 (99.38679),14 4,2024/08/20 09:37:49,
22,123,1078619629,염광전기통신(주),최인재,분석,101117513.0,88.018,87.939,-0.61190 (99.3881),8 2,2024/08/16 14:42:48,
23,124,2108138572,주식회사 디와이엔텍,임형두,분석,101119532.0,88.02,87.941,-0.60990 (99.3901),11 6,2024/08/20 08:31:23,
